"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
755.169,665.42,614.383,577,532.298,692.188,771.867,617.312,485.08,820.577,769.051,758.131,742.375,508.72,635.332,605.072,836.402,530.056
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1,2,1,0,0,0,1,0,1,0
0,0,9.582,2.276,2.134,4.711,0,0,0,2.413,1.929,0,8.285,0,0,0,0,2.292
1670.287,1386.095,1443.445,1094.319,1247.603,1459.498,1617.331,1315.617,1220.499,978.433,1053.827,927.971,1178.705,1023.015,871.146,1074.892,774.319,917.17
0,0,0,0,1.349,0,0,0,0,0,2.286,0,24.09,3.962,0,9.978,0,6.533
7,1,0,0,8,12,0,2,5,10,7,3,11,1,3,4,0,3
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
0,0,2.136,0,0,0,9.164,0,0,0,0,0,0,0,0,0,0,1.881
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.004,0,0,0,0,0,0,0,0,1.009,2.037,0,0,0,1.007,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.494
0,0,0,2.6,2.703,0,0,0,1.626,1.358,2.919,0,0,7.1,3.842,0,7.676,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.539,47.426,35.401,77.836,90.014,81.351,83.729,51.735,56.603,104.065,82.817,18.179,109.807,59.177,26.628,75.007,22.873,61.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650.13,1062.692,1222.834,1879.24,1770.091,1576.558,1848.881,1361.127,1688.067,1385.941,1377.558,1802.911,1590.956,1590.582,1309.357,1496.906,898.498,1508.597
0,8.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3.021,3,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0
18.409,0,0,31.249,12.844,9.622,30.885,25.471,35.394,9.646,2.97,0,13.915,3.689,0,0,7.031,0
0,0,0,0,0,0,3.967,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534.76,831.351,727.07,623.462,705.236,713.719,735.851,792.871,611.585,598.325,412.669,482.458,703.616,791.434,481.756,404.26,316.4,395.322
810.964,805.301,829.887,635.616,851.127,975.911,858.579,760.44,702.652,591.831,861.044,875.237,1126.346,1174.203,772.194,830.045,661.143,760.877
5269.743,4409.218,3555.352,4594.871,3955.436,4783.525,5919.787,4714.247,3770.036,4206.358,4221.154,4482.712,5161.098,4708.801,4565.922,4804.565,3968.606,4319.226
221.011,150,117.008,217,176.006,195.005,182,186.04,197,465.03,382.488,308.001,298,237.029,283.138,358.481,209,313.016
510.157,316.246,231.183,341.725,162.44,423.42,391.27,447.166,375.523,221.919,336.603,483.229,530.896,438.606,396.377,597.447,440.538,555.208
66.299,57.447,116.979,97.098,45.981,17.716,67.81,78.322,86.653,162.159,238.12,194.634,416.772,137.636,237.701,248.031,496.099,252.278
803.723,698.109,581.394,572.77,653.73,875.477,912.802,797.037,741.697,562.455,470.598,447.535,678.056,628.965,437.778,468.831,462.453,442.485
