"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
0,0,0,0,0,0,1.54805,0,0,0,0,0,0,0,2.441856,0,1.796962,2.292019
0,0.319949,0,0,0,0,0,0,0,0,1.059048,0,0.43388,0.598869,0,0,0.557752,0
1.26184,1.187889,0.808151,1.375564,1.387452,0.97499,1.224722,1.126628,1.384089,0.931949,0.912362,0.729285,0.639952,0.669033,0.795686,0.904413,0.524965,0.824485
0.256149,0.096918,0.046558,0.244862,0.057209,0.187575,0.041471,0.029438,0.107914,53.380735,51.29048,15.425715,53.996183,21.66364,79.933402,44.432037,138.630849,52.966685
41.836923,38.275555,43.549497,31.580673,31.941493,37.572546,33.92926,42.119136,34.248963,28.293349,35.940319,32.879785,45.920945,46.155512,32.201074,37.057714,31.790819,33.375917
0,0,0,0,0,0,0,0,0,0.116484,0,0,0.108094,0,0,0,0.676891,0.273896
0,0.083461,0.160519,0.105512,0,0,0.071417,0.250435,0,0,0,0,0.243579,0.087277,0.096303,0.096418,0.305096,0.102788
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.233315,9.807722,6.585515,7.071618,5.021069,6.471678,7.729844,10.372934,7.015291,3.58906,4.393486,6.780626,3.582113,6.794727,3.916015,3.273098,2.836451,3.135017
6.295002,6.956267,6.418946,3.888479,10.60309,6.762554,7.842873,14.77052,8.164532,5.522136,7.570295,5.071272,12.698447,8.75646,7.324858,6.491192,6.605134,3.400122
0.024504,0.056507,0.014594,0.180413,0.052161,0.095045,0.036082,0.070172,0.078277,0.32109,0.08947,0.072363,0.072326,0.118734,0.129852,0.08138,0.069151,0.043005
0,0.095221,0.092959,0,0,1.220827,0,0,0,0,0.642427,1.297839,0,0.260888,0.410971,0.407136,0,0.68227
0.019983,0,0.043631,0,0,0,0.019446,0.068126,0.050489,0,0,0.070477,0.022111,0.118747,0,0.026285,0.055405,0
17.289246,23.394708,13.949527,19.725552,20.501272,15.424851,12.016467,14.109325,12.177828,6.193659,7.392555,7.433399,17.914991,4.72332,11.115263,9.90841,11.87929,9.241777
5.555236,5.064981,3.318997,6.397005,5.412694,7.593074,8.669772,7.436406,7.516278,62.144379,50.714262,20.010119,44.524381,21.778391,55.794537,33.415783,82.335756,38.854744
0,0,0,0,0,0,0,0,0,0,0,0,0.207915,0,0,0,0,0
0,0,0,0.084182,0.039304,0.064473,0,0,0,0,0.250903,0,0.356772,0,0,0.269714,0.040634,0.123017
17.032482,24.774227,25.822873,22.918697,25.103512,26.539137,33.398942,19.5572,23.608047,54.112805,45.016016,43.579996,56.319226,72.114788,60.72536,52.028483,39.807793,68.637085
3.709907,2.762707,6.06851,10.30062,6.580605,6.930677,6.87649,6.074941,6.584805,14.909099,12.604578,16.464575,14.222107,9.866736,10.952449,10.363912,5.45485,10.048395
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.272126,0.185102,0.175277,0.07996,0,0.088422,0.237257,0.121486,0.123116,0.287303,0.534674,0.037903,0.782196,0.225373,0.208066,0.159647,0.465074,0.370839
0,0,0,0,0,0.538936,0,0.605538,0.447162,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.101463,0,0,0,0,0,0,0,0
1.172489,1.026479,0.668934,0.830006,1.09488,0.792202,0.653271,0.425596,0.677726,0.252539,0.310335,0.486605,0.776128,0.480203,0.644831,0.556931,0.481049,0.455968
0.837396,1.259116,0,1.593756,1.498443,1.223028,1.211417,0.787632,1.236795,1.648587,2.541831,2.604637,0.765037,1.481859,1.996868,1.621397,0.383222,1.35841
0,0,0,0,0,0,0.485546,0,0,0,0,0,0,1.041558,0,0,0,0
2.146072,1.211684,0.409413,4.960377,4.116547,2.727984,1.506822,3.057425,1.129093,2.93223,6.745979,3.425682,4.435922,3.687718,2.503465,3.094552,1.522993,2.006766
239.270967,256.926629,207.006772,206.956127,254.922706,277.025282,278.43456,282.338085,279.31512,329.247191,278.690021,235.702162,301.516239,260.988442,362.591201,305.82438,349.490762,316.37845
1247.707486,1323.043926,1468.074175,1137.599616,1328.956469,1222.797753,1130.955075,1251.220796,1204.218153,937.266123,1188.728626,842.628692,935.357249,1083.925474,903.740748,761.899601,686.107309,1023.512557
1.089622,0.820575,0.516587,1.147988,0.829049,1.062061,1.091656,1.13894,1.046896,3.159219,3.20394,3.668979,3.56036,5.917276,3.65381,4.248026,1.847409,5.181608
