"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
0,0,0,0.013825,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.037486,0,0,0,0,0,0.014949,0.10679,0
0,0,0,0,0,0,0,0,0
0.085214,0,0.062806,0,0,0,0,0,0
0.087734,0.049909,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.178014,0.022315,0.028118,0.023084,0,0,0.009641,0,0.009841
0,0,0,0,0.134436,0,0,0,0
0,0,0,0,0,0,0,0,0
0.092624,0.101599,0.204835,0.011368,0.027078,0.020338,0.019978,0.018032,0.035847
0,0.157765,0.132488,0,0,0,0.023916,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0.05494,0.070769,0.062712,0.020534,0.075408,0.009963
0,0,0,0,0.147602,0.090199,0.057352,0,0
3.147569,4.3189,4.902272,5.619317,4.383406,5.270851,3.656054,4.337791,4.443513
0,0,0,0,2.805712,4.851541,3.311962,0,0
2.17124,1.095874,4.194891,0.905766,2.858544,1.859255,1.540401,0,0.453403
1.772502,0.440614,1.923124,0.192903,0.530995,0.250717,0.438514,0.340942,0.145126
1.316699,1.153074,1.562132,1.353811,0.815008,1.167704,0.655332,0.736625,0.651018
0.124724,0.018242,0.045974,0,0,0,0,0,0
15.943698,20.252802,28.49584,33.215028,23.519854,35.465216,29.6898,31.28886,34.556717
0.473724,0.413585,0.077604,0.608421,0.481407,0.456409,0.331323,0.591203,0.488918
1.506303,0.954657,0.557141,1.470166,2.411309,3.455809,2.220818,3.257689,1.627401
4.277374,0.43869,0,0,0,0.339354,0,0,0
11.976383,24.88631,25.789319,22.455153,23.141942,31.355075,22.124981,25.224509,23.638867
1.153157,0,0,3.144108,0.589304,2.230238,1.021286,2.18888,1.490712
0.290503,0.352109,0.367214,1.635438,1.22864,1.064841,1.059315,1.057264,1.150471
6.749944,5.399631,5.006259,0.143068,0.540253,0.127073,0.125859,0.36635,0.363952
0,0,0,0,0,0,0,0,0
