SYMBOL,GENENAME,GENEBIOTYPE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACER1,ACER1,protein_coding,0,NA,NA,NA,NA,NA
ACER2,ACER2,protein_coding,87.4297694,-0.103907988,0.331023188,-0.313899422,0.753597429,0.997447198
ACER3,ACER3,protein_coding,1326.123901,0.005456343,0.098968627,0.055132044,0.956033268,0.999779309
ACHE,ACHE,protein_coding,134.8470365,-0.117315575,0.268063533,-0.437640937,0.661646591,0.997447198
ACIN1,ACIN1,protein_coding,1452.979098,-0.0712237,0.115203165,-0.618244305,0.536414309,0.997447198
ACKR1,ACKR1,protein_coding,0,NA,NA,NA,NA,NA
ACKR2,ACKR2,protein_coding,0,NA,NA,NA,NA,NA
ACKR3,ACKR3,protein_coding,0,NA,NA,NA,NA,NA
ACKR4,ACKR4,protein_coding,0.699681283,-2.912493266,3.969635707,-0.733692832,0.463135968,NA
ACLY,ACLY,protein_coding,4954.72596,-0.189765393,0.110037546,-1.724551293,0.084608368,0.678667119
ACMSD,ACMSD,protein_coding,0,NA,NA,NA,NA,NA
ACO1,ACO1,protein_coding,251.1479801,0.639393711,0.425884787,1.501330243,0.133270166,0.774834475
ACO2,ACO2,protein_coding,563.147945,0.115277124,0.14310673,0.80553252,0.420512448,0.977195043
ACOD1,ACOD1,protein_coding,0,NA,NA,NA,NA,NA
ACOT1,ACOT1,protein_coding,181.363946,0.329362163,0.241301036,1.364943015,0.172270961,0.839578526
ACOT11,ACOT11,protein_coding,30.57500506,0.18168509,0.468753419,0.38759203,0.698317968,0.997447198
ACOT12,ACOT12,protein_coding,0.150464858,-0.942409258,4.080472857,-0.230955894,0.817349067,NA
ACOT13,ACOT13,protein_coding,100.2008521,0.501762198,0.341825108,1.46789158,0.142133676,0.787654815
ACOT2,ACOT2,protein_coding,496.889562,0.025861821,0.142073887,0.182030782,0.855558569,0.998359305
ACOT4,ACOT4,protein_coding,17.07343099,0.941999793,0.688601053,1.367990636,0.171315007,0.838071208
ACOT6,ACOT6,protein_coding,0.329835059,1.855601879,4.039802152,0.45932989,0.645997286,NA
ACOT7,ACOT7,protein_coding,4163.958299,0.075537255,0.07228854,1.044940941,0.296050266,0.936000346
ACOT8,ACOT8,protein_coding,335.2866895,0.040612733,0.148071197,0.274278412,0.783870673,0.997447198
ACOT9,ACOT9,protein_coding,2000.14533,0.099763542,0.115211316,0.86591791,0.386535181,0.968451565
